Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
108,Byron Buxton,31,MIN,AL,0.5,22,92,87,18,20,4,1,5,12,5,0,2,31,.230,.261,.471,.732,105,.323,96,41,0,2,0,1,0,*8,,buxtoby01
109,Adolis García,32,TEX,AL,0.3,24,92,83,8,18,6,0,4,11,4,0,5,19,.217,.283,.434,.716,109,.332,112,36,2,3,0,1,0,*9,,garciad02
110,Ke'Bryan Hayes,28,PIT,NL,0.1,23,92,84,8,18,1,1,1,10,3,0,7,17,.214,.283,.286,.568,60,.266,53,24,2,1,0,0,0,*5,,hayeske01
111,Ryan McMahon*,30,COL,NL,0.3,22,92,77,6,15,3,0,2,4,0,0,13,35,.195,.315,.312,.627,71,.289,68,24,1,1,0,1,0,*5,,mcmahry01
112,Luis Robert Jr.,27,CHW,AL,-0.1,22,92,76,10,11,2,0,2,6,7,3,13,27,.145,.267,.250,.517,53,.273,73,19,1,0,0,1,1,*8/D,,roberlu01
113,Triston Casas*,25,BOS,AL,-0.7,23,91,82,5,14,3,0,3,10,0,0,8,22,.171,.253,.317,.570,62,.249,50,26,2,1,0,0,2,*3/H,,casastr01
114,Andrew Vaughn,27,CHW,AL,-0.7,22,91,87,5,13,3,0,3,10,0,0,4,22,.149,.187,.287,.474,37,.209,30,25,2,0,0,0,0,*3/D,,vaughan01
115,Josh Bell#,32,WSN,NL,-0.4,22,90,78,10,11,0,1,4,11,0,1,11,16,.141,.256,.321,.576,63,.256,61,25,3,1,0,0,0,*D/3,,belljo02
116,Zach McKinstry*,30,DET,AL,1.2,23,90,74,13,23,2,3,1,12,1,0,14,19,.311,.416,.459,.875,157,.384,153,34,0,0,1,1,1,*9/54H67,,mckinza01
117,Marcell Ozuna,34,ATL,NL,1.2,21,90,66,13,21,2,0,4,9,0,0,24,19,.318,.500,.530,1.030,189,.467,204,35,1,0,0,0,0,*D,,ozunama01
118,Victor Scott II*,24,STL,NL,0.7,23,90,80,13,22,5,1,1,10,8,0,8,21,.275,.337,.400,.737,107,.343,101,32,0,0,1,1,0,*8/97,,scottvi01
119,Mark Vientos,25,NYM,NL,-0.1,22,90,80,9,14,5,0,2,7,0,0,10,18,.175,.267,.313,.579,66,.274,71,25,1,0,0,0,0,*5/D,,vientma01
120,Jacob Wilson,23,ATH,AL,0.2,23,90,89,13,30,6,0,2,11,1,0,1,4,.337,.344,.472,.816,134,.368,138,42,3,0,0,0,0,*6,,wilsoja05
121,Cody Bellinger*,29,NYY,AL,-0.2,22,89,79,10,14,1,1,2,12,3,0,7,21,.177,.236,.291,.527,52,.239,42,23,2,0,0,3,0,*78/9,,bellico01
122,Max Kepler*,32,PHI,NL,0.2,22,89,78,10,19,6,0,1,4,0,0,10,17,.244,.337,.359,.696,96,.310,91,28,2,1,0,0,1,*7/9H,,keplema01
123,Shea Langeliers,27,ATH,AL,0.5,21,89,80,12,20,4,0,5,12,1,0,9,12,.250,.326,.488,.813,132,.364,134,39,2,0,0,0,0,*2/D,,langesh01
124,Kyle Manzardo*,24,CLE,AL,0.7,22,89,73,12,16,3,1,7,18,0,0,12,22,.219,.326,.575,.901,158,.376,148,42,1,1,0,3,0,*D/3H,,manzaky01
125,J.P. Crawford*,30,SEA,AL,0.7,23,88,69,11,17,2,0,1,10,1,0,16,16,.246,.395,.319,.714,122,.336,128,22,1,1,2,0,0,*6,,crawfjp01
126,Jeimer Candelario#,31,CIN,NL,-0.8,21,87,76,3,9,2,0,2,10,0,1,9,27,.118,.207,.224,.431,18,.195,7,17,1,0,0,2,0,5/3D,,candeje01
127,Michael Conforto*,32,LAD,NL,0.0,23,87,71,13,14,4,0,2,5,0,0,14,24,.197,.345,.338,.683,98,.315,102,24,3,2,0,0,0,*7/H,,confomi01
128,Carlos Correa,30,MIN,AL,-0.2,23,87,81,7,14,6,0,1,5,0,0,6,13,.173,.230,.284,.514,47,.228,37,23,6,0,0,0,0,*6,,correca01
129,Jasson Domínguez#,22,NYY,AL,0.4,22,87,77,12,18,6,0,2,11,3,0,9,28,.234,.322,.390,.711,106,.337,112,30,1,1,0,0,0,*7/D,,dominja01
130,Isiah Kiner-Falefa,30,PIT,NL,0.7,24,87,79,10,23,3,1,0,7,5,2,6,15,.291,.349,.354,.703,97,.316,93,28,1,1,1,0,0,*6/5,,kineris01
